original_order,fishery_id,number_of_species
1,1,NA
2,1,NA
3,2,1
4,3,5
5,3,5
6,3,5
7,3,5
9,5,15
10,5,15
11,6,NA
12,7,9
13,7,9
14,8,1
15,9,NA
16,10,1
17,11,15
18,11,15
19,12,2
20,13,1
21,14,2
22,15,1
23,16,1
24,17,1
25,18,2
26,19,2
27,20,14
28,21,14
29,22,NA
30,22,NA
31,23,14
32,24,14
33,25,1
34,26,14
35,27,14
36,28,1
37,29,1
38,30,6
39,30,6
40,30,6
41,31,3
42,32,4
43,33,1
44,34,11
45,34,11
46,35,5
47,35,5
48,35,5
49,36,1
50,37,1
51,38,1
52,39,11
53,39,11
54,40,5
55,40,5
56,40,5
57,41,1
58,42,1
59,43,1
60,44,2
61,44,2
62,47,10
63,47,7
64,47,7
65,48,100
66,48,100
67,48,100
68,49,1
75,50,3
76,51,7
77,51,7
78,51,7
79,52,5
80,52,5
84,53,9
85,53,9
86,54,NA
87,54,NA
88,55,4
89,56,NA
90,57,2
91,58,NA
92,59,NA
93,59,NA
94,60,20
95,60,20
96,60,20
97,61,1
100,63,1
101,64,NA
102,64,NA
103,65,NA
104,65,NA
105,65,NA
106,66,1
107,67,2
108,67,2
109,68,1
110,69,2
111,69,2
112,70,3
113,70,3
114,70,3
115,71,0
